rgn_id,port,stock,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
3,HUASCO,JIBIA O CALAMAR ROJO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,HUASCO,JUREL,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
3,HUASCO,LANGOSTINO AMARILLO,973,396,0,96,143,75,195,27,55,59,44,0,14,0,0
3,HUASCO,LANGOSTINO COLORADO,28,0,40,0,0,6,54,192,54,2,2,0,0,0,0
3,HUASCO,MERLUZA COMUN,4,12,4,2,7,4,10,10,7,4,0,0,0,0,0
4,COQUIMBO,ALBACORA O PEZ ESPADA,561,1089,122,10,30,52,0,5,162,84,9,35,26,34,0
4,COQUIMBO,ALBACORA O PEZ ESPADA / IVI HEHEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
4,COQUIMBO,ALFONSINO,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0
4,COQUIMBO,ANCHOVETA,14290,12,7,13774,18953,10940,11307,6706,4261,6663,6700,3349,0,0,0
4,COQUIMBO,ATUN ALETA AMARILLA,1,2,2,0,0,0,2,0,3,0,0,0,0,0,0
4,COQUIMBO,ATUN OJOS GRANDES,6,5,1,2,0,1,0,0,1,0,0,0,0,0,0
4,COQUIMBO,AZULEJO,25,235,58,2,7,5,0,0,48,18,1,1,0,0,18
4,COQUIMBO,BACALADILLO O MOTE,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0
4,COQUIMBO,BACALAO DE PROFUNDIDAD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,COQUIMBO,"BACALAO I.PASCUA,ATUN ESCOFINA/KONSO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,COQUIMBO,BESUGO,0,3,19,9,26,29,3,127,10,9,1,0,0,0,0
4,COQUIMBO,CABALLA,2478,999,2530,1824,1151,24,1395,101,1641,2038,1714,466,266,798,15
4,COQUIMBO,CAMARON NAILON,1192,2170,1792,762,897,941,742,659,998,1086,738,457,495,231,185
4,COQUIMBO,CENTOLLA DEL NORTE,2,0,0,0,6,0,0,1,0,0,0,0,0,0,0
4,COQUIMBO,CONGRIO DORADO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,COQUIMBO,GAMBA,0,1,0,5,8,2,1,0,5,3,1,0,0,0,0
4,COQUIMBO,JIBIA O CALAMAR ROJO,0,1,0,0,48,69,0,2,38,11,95,156,28,24,0
4,COQUIMBO,JUREL,32926,16851,7725,6106,2356,311,3488,2192,22362,22820,24358,27536,29749,22753,1453
4,COQUIMBO,JUREL FINO,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
4,COQUIMBO,KONSO,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
4,COQUIMBO,LANGOSTINO AMARILLO,1965,927,389,1261,655,1019,639,456,678,407,488,553,704,172,820
4,COQUIMBO,LANGOSTINO COLORADO,301,570,643,701,650,657,537,640,578,367,375,72,96,96,96
4,COQUIMBO,MACHUELO O TRITRE,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,COQUIMBO,MARLIN,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1
4,COQUIMBO,MERLUZA COMUN,1,129,50,42,76,77,67,55,84,61,48,31,26,3,2
4,COQUIMBO,PALOMETA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,COQUIMBO,PESCADO NO CLASIFICADO,0,6,1,0,1,1,0,0,0,0,0,0,19,33,1
4,COQUIMBO,PEZ SOL,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1
4,COQUIMBO,SARDINA COMUN,14,0,0,0,0,0,17,0,0,0,1175,520,0,0,0
4,COQUIMBO,SARDINA ESPAÑOLA,237,14,5,67,1,0,0,0,0,0,0,0,0,0,0
4,COQUIMBO,SIERRA,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0
