rgn_id,CALETA,stock,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,CAVANCHA,PULPO,36,39,2,12,23,17,0,0,0,0,10,150,61,20,21
1,CAVANCHA,REINETA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,ROLLIZO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,SARDINA,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,SARDINA ESPAÑOLA,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,SARGO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,TIBURON O MARRAJO,66,188,65,133,78,76,93,27,20,21,14,23,22,12,12
1,CAVANCHA,TOLLO,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,CAVANCHA,TOMOYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,"VIDRIOLA, PALOMETA, DORADO O TOREMO",0,0,0,0,0,0,0,0,65,0,0,63,66,79,84
1,CAVANCHA,VIEJA O MULATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,ACHA O HACHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,ALMEJA,0,0,2,16,16,10,1,3,0,0,0,0,1,0,0
1,CHANAVAYA,APAÑADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,CABRILLA COMUN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,CHANAVAYA,CARACOL LOCATE,0,0,22,184,50,89,87,23,0,31,5,3,0,2,0
1,CHANAVAYA,CHASCON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,CHANAVAYA,CHASCON O HUIRO NEGRO,0,0,0,0,0,0,74,110,235,612,230,170,211,370,245
1,CHANAVAYA,CHOLGA,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0
1,CHANAVAYA,CHORO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,COJINOBA DEL NORTE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,CONGRIO COLORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,CONGRIO NEGRO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,CHANAVAYA,CULENGUE,0,0,8,20,2,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,DORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,ERIZO,0,0,45,43,288,50,119,65,13,49,50,6,22,20,22
1,CHANAVAYA,HUIRO,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0
1,CHANAVAYA,HUIRO PALO,0,0,0,0,0,0,0,0,0,3,0,0,0,19,40
1,CHANAVAYA,JAIBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,LAPA,0,0,11,20,9,4,29,1,5,23,147,22,0,0,0
1,CHANAVAYA,LAPA NEGRA,0,0,2,3,2,0,0,0,0,0,1,6,3,0,0
1,CHANAVAYA,LENGUADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,LOCO,0,0,23,35,47,17,4,1,22,52,27,35,44,18,10
1,CHANAVAYA,OSTION DEL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,CHANAVAYA,PEJEPERRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,PESCADO NO CLASIFICADO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,CHANAVAYA,PIURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,PULPO,0,0,7,8,44,7,52,0,0,0,7,28,31,13,12
1,CHANAVAYA,ROLLIZO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,CHANAVAYA,RONCACHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,SARGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYA,VIEJA O MULATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,ALMEJA,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,CHANAVAYITA,APAÑADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,BRECA O BILAGAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,CABRILLA COMUN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,CHANAVAYITA,CARACOL LOCATE,72,0,16,14,47,52,4,106,0,39,0,28,22,0,61
1,CHANAVAYITA,CHASCON O HUIRO NEGRO,0,0,0,0,0,95,624,908,0,1944,1660,0,1331,829,646
1,CHANAVAYITA,CHOLGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,CHORO,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
1,CHANAVAYITA,COJINOBA DEL NORTE,0,0,0,3,0,0,0,0,0,0,0,0,8,1,0
1,CHANAVAYITA,CONGRIO COLORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,CONGRIO NEGRO,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,CORVINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,CULENGUE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,DORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,ERIZO,18,221,128,119,317,156,153,28,5,51,170,28,16,43,31
1,CHANAVAYITA,HUIRO,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,CHANAVAYITA,HUIRO PALO,0,0,0,0,0,2,30,33,0,17,62,0,33,12,9
1,CHANAVAYITA,JAIBA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,CHANAVAYITA,JAIBA PELUDA O PACHONA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,CHANAVAYITA,LAPA,0,3,10,8,41,7,0,1,3,10,20,43,0,0,0
1,CHANAVAYITA,LAPA NEGRA,0,0,1,2,0,0,0,0,2,0,30,6,22,0,0
1,CHANAVAYITA,LENGUADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,LOCO,0,9,3,9,12,11,3,3,6,19,1,17,4,7,4
1,CHANAVAYITA,PEJEPERRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,PESCADO NO CLASIFICADO,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1,CHANAVAYITA,PIURE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,CHANAVAYITA,PULPO,27,23,8,6,21,54,0,0,0,0,9,46,41,8,77
1,CHANAVAYITA,RAYA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
