REGION,PORT,SPECIES,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
3,HUASCO,BACALAO DE PROFUNDIDAD, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,HUASCO,BESUGO, -   , -   ,3, -   ,1, -   , -   ,1,1, -   , -   , -   , -   , -   , -   
3,HUASCO,CAMARON NAILON,168,102,98,125,72,21,14,102,79,58,6,10, -   , -   , -   
3,HUASCO,JIBIA O CALAMAR ROJO, -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,HUASCO,JUREL, -   , -   , -   , -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   
3,HUASCO,LANGOSTINO AMARILLO,973,396, -   ,96,143,75,195,27,55,59,44, -   ,14, -   , -   
3,HUASCO,LANGOSTINO COLORADO,28, -   ,40, -   , -   ,6,54,192,54,2,2, -   , -   , -   , -   
3,HUASCO,MERLUZA COMUN,4,12,4,2,7,4,10,10,7,4, -   , -   , -   , -   , -   
4,COQUIMBO,ALBACORA O PEZ ESPADA,561,"1,089",122,10,30,52, -   ,5,162,84,9,35,26,34, -   
4,COQUIMBO,ALBACORA O PEZ ESPADA / IVI HEHEU, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,33
4,COQUIMBO,ALFONSINO, -   , -   , -   , -   , -   , -   , -   , -   ,15, -   , -   ,2, -   , -   , -   
4,COQUIMBO,ANCHOVETA,"14,290",12,7,"13,774","18,953","10,940","11,307","6,706","4,261","6,663","6,700","3,349", -   , -   , -   
4,COQUIMBO,ATUN ALETA AMARILLA,1,2,2, -   , -   , -   ,2, -   ,3, -   , -   , -   , -   , -   , -   
4,COQUIMBO,ATUN OJOS GRANDES,6,5,1,2, -   ,1, -   , -   ,1, -   , -   , -   , -   , -   , -   
4,COQUIMBO,AZULEJO,25,235,58,2,7,5, -   , -   ,48,18,1,1, -   , -   ,18
4,COQUIMBO,BACALADILLO O MOTE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,394, -   , -   , -   
4,COQUIMBO,BACALAO DE PROFUNDIDAD, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
4,COQUIMBO,"BACALAO I.PASCUA,ATUN ESCOFINA/KONSO", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
4,COQUIMBO,BESUGO, -   ,3,19,9,26,29,3,127,10,9,1, -   , -   , -   , -   
4,COQUIMBO,CABALLA,"2,478",999,"2,530","1,824","1,151",24,"1,395",101,"1,641","2,038","1,714",466,266,798,15
4,COQUIMBO,CAMARON NAILON,"1,192","2,170","1,792",762,897,941,742,659,998,"1,086",738,457,495,231,185
4,COQUIMBO,CENTOLLA DEL NORTE,2, -   , -   , -   ,6, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   
4,COQUIMBO,CONGRIO DORADO, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
4,COQUIMBO,GAMBA, -   ,1, -   ,5,8,2,1, -   ,5,3,1, -   , -   , -   , -   
4,COQUIMBO,JIBIA O CALAMAR ROJO, -   ,1, -   , -   ,48,69, -   ,2,38,11,95,156,28,24, -   
4,COQUIMBO,JUREL,"32,926","16,851","7,725","6,106","2,356",311,"3,488","2,192","22,362","22,820","24,358","27,536","29,749","22,753","1,453"
4,COQUIMBO,JUREL FINO, -   , -   , -   , -   , -   , -   , -   , -   ,81, -   , -   , -   , -   , -   , -   
4,COQUIMBO,KONSO, -   , -   , -   , -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   
4,COQUIMBO,LANGOSTINO AMARILLO,"1,965",927,389,"1,261",655,"1,019",639,456,678,407,488,553,704,172,820
4,COQUIMBO,LANGOSTINO COLORADO,301,570,643,701,650,657,537,640,578,367,375,72,96,96,96
4,COQUIMBO,MACHUELO O TRITRE,136, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
4,COQUIMBO,MARLIN, -   , -   ,4, -   , -   , -   , -   , -   ,1, -   , -   , -   ,1, -   ,1
4,COQUIMBO,MERLUZA COMUN,1,129,50,42,76,77,67,55,84,61,48,31,26,3,2
4,COQUIMBO,PALOMETA, -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
4,COQUIMBO,PESCADO NO CLASIFICADO, -   ,6,1, -   ,1,1, -   , -   , -   , -   , -   , -   ,19,33,1
4,COQUIMBO,PEZ SOL, -   , -   , -   , -   , -   , -   , -   , -   ,4,3, -   , -   , -   , -   ,1
4,COQUIMBO,SARDINA COMUN,14, -   , -   , -   , -   , -   ,17, -   , -   , -   ,"1,175",520, -   , -   , -   
4,COQUIMBO,SARDINA ESPAÑOLA,237,14,5,67,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
4,COQUIMBO,SIERRA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,2,10, -   
4,COQUIMBO,TIBURON O MARRAJO,55,121,20, -   ,5,7, -   ,4,26,9,1, -   ,1,3, -   
4,COQUIMBO,TIBURON O MARRAJO DENTUDO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4
4,COQUIMBO,VIDRIOLA O TOREMO,12,75,5,1,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
4,COQUIMBO,"VIDRIOLA, PALOMETA, DORADO O TOREMO", -   , -   , -   , -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   
4,LOS VILOS,ANCHOVETA, -   , -   , -   , -   ,271, -   , -   , -   , -   , -   ,54, -   , -   , -   , -   
4,LOS VILOS,CAMARON NAILON, -   ,1, -   , -   ,28,77,28,15,19,2,40,3,38,28,7
4,LOS VILOS,LANGOSTINO AMARILLO,39, -   ,3, -   ,482,773,"1,197","1,326","1,373","1,379","1,522","1,173","1,243",864,213
4,LOS VILOS,LANGOSTINO COLORADO, -   , -   , -   , -   ,2, -   , -   , -   , -   , -   , -   ,405,"1,138",838,16
4,LOS VILOS,MERLUZA COMUN, -   , -   , -   , -   , -   ,43,39,104,37,21,39,36,46,5, -   
5,QUINTERO,BESUGO, -   , -   , -   ,25,8,1,1, -   ,6,5,3,1, -   , -   , -   
5,QUINTERO,CAMARON NAILON,723,"1,223","1,097","1,009",882,"1,387","1,392","1,351","1,432","1,414","1,353","1,417","1,421","1,342","1,667"
5,QUINTERO,CAMARON NAVAJA, -   , -   , -   , -   ,49, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
